product_id,brand,product,volume,type,market_id,url,product_origin
BP_151758,禾富巴斯,澳洲禾富巴斯 鹰標莎切拉子梅鹿紅酒,75CL,紅酒,parknshop,https://www.pns.hk/zh-hk/%E9%B9%B0%E6%A8%99%E8%8E%8E%E5%88%87%E6%8B%89%E5%AD%90%E6%A2%85%E9%B9%BF%E7%B4%85%E9%85%92/p/BP_151758,澳洲
BP_357779,HITE,HITE 黑啤６罐裝,355MLx6,啤酒,parknshop,https://www.pns.hk/zh-hk/%E9%BB%91%E5%95%A4%EF%BC%96%E7%BD%90%E8%A3%9D/p/BP_357779,Others
BP_125891,紅萬壽,紅萬壽 花雕酒,750ML,中國酒,parknshop,https://www.pns.hk/zh-hk/%E8%8A%B1%E9%9B%95%E9%85%92/p/BP_125891,中國
BP_475403,三得利,三得利 青檸味飲品,350ML,orders,parknshop,https://www.pns.hk/zh-hk/%E9%9D%92%E6%AA%B8%E5%91%B3%E9%A3%B2%E5%93%81/p/BP_475403,日本
BP_158285,波爾多力卡巴頓,波爾多力卡巴頓 白酒,75CL,白酒,parknshop,https://www.pns.hk/zh-hk/%E7%99%BD%E9%85%92/p/BP_158285,法國
BP_120813,夏迪,夏迪 西拉紅酒,75CL,紅酒,parknshop,https://www.pns.hk/zh-hk/%E8%A5%BF%E6%8B%89%E7%B4%85%E9%85%92/p/BP_120813,澳洲
BP_409739,智利蒙加斯,智利蒙加斯 精選佳美娜紅酒,75CL,紅酒,parknshop,https://www.pns.hk/zh-hk/%E7%B2%BE%E9%81%B8%E4%BD%B3%E7%BE%8E%E5%A8%9C%E7%B4%85%E9%85%92/p/BP_409739,智利
BP_488006,朝日,朝日 無酒精啤酒,350ML,啤酒,parknshop,https://www.pns.hk/zh-hk/%E7%84%A1%E9%85%92%E7%B2%BE%E5%95%A4%E9%85%92/p/BP_488006,日本
BP_143685,MG SPIRIT,MG SPIRIT 菠蘿伏特加,275ML,烈酒,parknshop,https://www.pns.hk/zh-hk/%E8%8F%A0%E8%98%BF%E4%BC%8F%E7%89%B9%E5%8A%A0/p/BP_143685,西班牙
BP_354396,CLARENDELLE,CLARENDELLE 波爾多紅酒,75CL,紅酒,parknshop,https://www.pns.hk/zh-hk/%E6%B3%A2%E7%88%BE%E5%A4%9A%E7%B4%85%E9%85%92/p/BP_354396,法國
BP_146501,MG SPIRIT,MG SPIRIT 青檸伏特加,275ML,烈酒,parknshop,https://www.pns.hk/zh-hk/%E9%9D%92%E6%AA%B8%E4%BC%8F%E7%89%B9%E5%8A%A0/p/BP_146501,西班牙
BP_391033,MG SPIRIT,MG SPIRIT 熱情果伏特加,275ML,烈酒,parknshop,https://www.pns.hk/zh-hk/%E7%86%B1%E6%83%85%E6%9E%9C%E4%BC%8F%E7%89%B9%E5%8A%A0/p/BP_391033,西班牙
BP_118811,三得利,三得利 啤酒,500MLX4,啤酒,parknshop,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_118811,Others
BP_446372,BORN ROSE,BORN ROSE 玫瑰酒,250ML,玫瑰酒,parknshop,https://www.pns.hk/zh-hk/%E7%8E%AB%E7%91%B0%E9%85%92/p/BP_446372,Others
BP_110314,YEBISU,YEBISU 啤酒,350MLX6,啤酒,parknshop,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_110314,日本
BP_120775,CASILLERO DEL DIABLO,CASILLERO DEL DIABLO 紅酒,75CL,紅酒,parknshop,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_120775,智利
310854,夏迪,夏迪VR梅洛紅酒原箱 6 X 750ML,750ML,紅酒,wellcome,https://www.wellcome.com.hk/zh-hant/p/%E5%A4%8F%E8%BF%AAVR%E6%A2%85%E6%B4%9B%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323543.html,澳洲
